fuente,tabla,registros,fecha_inicio,fecha_fin,duracion_segundos,estado,error_msg
ShowdownLadder,core_pokemon_ladder,500,2025-06-06 01:29:17+02:00,2025-06-06 01:29:18+02:00,1.0,Éxito,
ShowdownMoves,core_pokemon_moves,952,2025-06-06 01:29:18+02:00,2025-06-06 01:29:18+02:00,0.0,Éxito,
RAWG,rawg_games,6000,2025-06-06 01:31:07+02:00,2025-06-06 01:31:09+02:00,2.0,Éxito,
GiantBomb,giantbomb_games,0,2025-06-06 01:31:09+02:00,2025-06-06 01:31:10+02:00,1.0,Error SQL,"(pymysql.err.OperationalError) (1054, ""Unknown column 'platform_abbr' in 'field list'"")"
ShowdownPokedex,pokemon_pokedex,0,2025-06-06 01:31:10+02:00,2025-06-06 01:31:10+02:00,0.0,Error SQL,"(pymysql.err.OperationalError) (1054, ""Unknown column 'type_1' in 'field list'"")"
ShowdownLadder,core_pokemon_ladder,500,2025-06-06 01:31:10+02:00,2025-06-06 01:31:11+02:00,1.0,Éxito,
ShowdownMoves,core_pokemon_moves,952,2025-06-06 01:31:11+02:00,2025-06-06 01:31:11+02:00,0.0,Éxito,
RAWG,rawg_games,6000,2025-06-06 01:34:03+02:00,2025-06-06 01:34:05+02:00,2.0,Éxito,
GiantBomb,giantbomb_games,15000,2025-06-06 01:34:05+02:00,2025-06-06 01:34:07+02:00,2.0,Éxito,
ShowdownPokedex,core_pokemon_pokedex,1425,2025-06-06 01:34:07+02:00,2025-06-06 01:34:08+02:00,1.0,Éxito,
ShowdownLadder,core_pokemon_ladder,500,2025-06-06 01:34:08+02:00,2025-06-06 01:34:08+02:00,0.0,Éxito,
ShowdownMoves,core_pokemon_moves,952,2025-06-06 01:34:08+02:00,2025-06-06 01:34:08+02:00,0.0,Éxito,
